INFO  - 2016-02-15 01:31:00.293; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-02-15 01:31:00.293; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-02-15 01:31:00.293; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-02-15 01:31:00.295; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-02-15 01:31:00.298; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-02-15 01:31:00.300; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-02-15 01:31:00.309; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-02-15 01:31:00.309; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.310; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.310; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.310; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.310; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.310; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.310; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.311; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-02-15 01:31:00.327; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-15 01:31:00.329; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-15 01:31:00.329; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-02-15 01:31:00.330; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
